group,count,r2,rmse,mse,mae,mape,medae
D2,44,0.8469997102303047,26491.362976106364,701792312.3318189,16510.822110528832,0.36029253552631535,7661.060343590363
C5,29,0.7595944681893825,17742.795675390433,314806798.37865347,12809.727659456632,0.3474714911457157,9195.198985800474
C6,17,0.7519024546877193,51115.785835300616,2612823561.5603194,23047.59782485746,0.26839922068224725,10025.88187399249
C4,127,0.7459262766277563,28224.675034707707,796632280.8148525,16637.3777873004,0.6611033098497995,6380.3200143562535
D3,45,0.7204721389869597,23988.44600912995,575445541.9329427,11475.837197246046,0.4941101856467795,5838.229811142044
C2,39,0.7119489443995437,22467.758608272656,504800176.87961,15470.093642850574,0.4451861868635103,8852.892368283869
D1,37,0.6362329537457899,21613.079670840893,467125212.85811585,14278.3333305036,0.39354051966365616,9287.330713708609
B1,187,0.5725493836986394,67773.86990879377,4593297442.414102,37133.04977217226,0.4082042083877679,17087.654913136634
C3,30,0.5259876856966968,23971.087116636794,574613017.5533905,15713.901205439914,0.6046499510258272,10598.124596668487
E2,11,-1.3039319376639789,33331.78571950183,1111007939.250786,30292.14429604898,1.6954744712786223,37340.46395933612
