group,count,r2,rmse,mse,mae,mape,medae
E2,18,0.9886416983819677,6269.811807668044,39310540.10357363,4270.569281684027,0.11788877762161282,2328.722653803952
C6,33,0.9678917855193182,19805.402989198945,392253987.56457055,10565.16675104733,0.12571220013876053,3208.149194615944
B1,381,0.9619591718177806,21510.070810005913,462683146.25146836,12696.27565779684,0.167109033702758,6762.203125
D3,92,0.9486748827826752,9566.552080688816,91518918.71253152,5465.381093981534,0.23347781258998554,1958.1982064361546
C2,82,0.9287536621976881,10911.91995015355,119069996.99855904,7211.2733977510925,0.2233434073506683,3791.544921875
D1,77,0.9182247878848333,12514.43660567735,156611123.55751723,7357.124585294836,0.18894250234119528,3900.125742459926
D2,95,0.9172818735284975,36975.6001683387,1367195007.8088489,13136.33241432729,0.11985798447608458,3219.4612589003154
C4,226,0.8955300377657989,16647.847711329156,277150833.41960746,9988.512066194875,0.1969334489991723,4180.788522273942
C5,64,0.882214083290585,13309.065100375761,177131213.84604007,8958.411873288329,0.20396416972155937,4962.7170973557695
C3,51,0.878159982343931,13303.46065354479,176982065.36041436,8315.994059641685,0.2036779642296593,4224.720461572448
