group,count,r2,rmse,mse,mae,mape,medae
D2,44,0.8462912039386532,26552.62958726702,705042137.998608,17362.954804777182,0.397860209514852,10959.242364455096
C6,17,0.8331963458381183,41912.79164412588,1756682103.4039078,20265.41119796453,0.3031310820143208,6475.399712678598
C4,127,0.7848675402857606,25971.799751331193,674534382.3232471,15229.631723450259,0.7431808686451781,6918.313844723991
D3,45,0.7436519412723495,22972.305374503798,527726814.21945614,10897.51086889821,0.4679296187349783,3161.755620770009
C5,29,0.7184243107491122,19202.041362511125,368718392.4875881,13521.507016287249,0.3230161822510611,9222.153943531066
C2,39,0.6434671344260383,24996.246484613046,624812338.3195301,15890.121506751375,0.39875969931946537,7827.035177460086
B1,187,0.5941262534424099,66041.17492669202,4361436785.697935,35948.26101094006,0.3966738803162179,14946.872968502721
D1,37,0.486303598445773,25683.73848902195,659654422.7724675,15795.73193533287,0.47021528368790644,9579.281408518029
C3,30,0.2870002762821794,29399.341221056875,864321264.232134,19296.687692319032,0.8518034285004988,14297.712265180824
E2,11,-0.7629475557785594,29157.04151446921,850133069.8764809,25909.565220276927,1.5059542435876898,34845.357847949315
